                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8258,                 4.2635,                 1.4784,                 0.0124,                    0.9,                0.01853,                0.01007,                 1.4911,                 4.2621,                 1.2427,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.6014,                 4.0336,                 1.3158,                0.01257,                    0.9,                0.50029,                0.33978,                 1.1281,                 3.9035,                 1.0347,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 1.1672,                 3.4066,                 1.0206,                0.01481,                      1,                  0.995,                0.72148,                0.89724,                 3.7187,                0.90498,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.0876,                 2.5091,                 1.0102,                0.01876,                      1,                  0.995,                0.78941,                0.81418,                 3.3677,                0.86953,             0.00013342,             0.00013342,             0.00013342
                      5,                0.90292,                  1.484,                0.94072,                0.01799,                      1,                  0.995,                0.78946,                 0.8242,                 3.0991,                0.86389,             0.00016807,             0.00016807,             0.00016807
                      6,                0.83218,                  1.509,                0.91315,                0.01639,                      1,                  0.995,                0.74453,                0.92968,                 3.1155,                0.88693,             0.00020198,             0.00020198,             0.00020198
                      7,                  0.844,                 1.3261,                0.90873,                0.01577,                      1,                  0.995,                0.74423,                 0.8602,                 3.1426,                0.87518,             0.00023515,             0.00023515,             0.00023515
                      8,                0.82708,                 1.3054,                0.95526,                0.01541,                      1,                  0.995,                0.79727,                 0.7927,                 3.1601,                0.86219,             0.00026758,             0.00026758,             0.00026758
                      9,                0.79288,                 1.2699,                 0.9509,                0.01481,                      1,                  0.995,                0.80895,                0.77175,                 3.2119,                0.86374,             0.00029926,             0.00029926,             0.00029926
                     10,                0.83675,                 1.1921,                0.93153,                0.01468,                      1,                  0.995,                0.81238,                0.74776,                 3.2173,                0.86342,              0.0003302,              0.0003302,              0.0003302
                     11,                0.87069,                 1.2999,                 1.0094,                0.01462,                      1,                  0.995,                0.79783,                0.75787,                 3.1838,                0.88488,              0.0003604,              0.0003604,              0.0003604
                     12,                0.87664,                 1.2277,                  1.002,                0.01437,                      1,                  0.995,                0.78705,                0.80275,                 3.2078,                0.89878,             0.00038986,             0.00038986,             0.00038986
                     13,                0.79046,                 1.1145,                 0.9541,                0.01379,                      1,                  0.995,                0.80256,                0.88013,                  3.328,                0.91226,             0.00041857,             0.00041857,             0.00041857
                     14,                0.80312,                 1.1231,                 0.9547,                0.01403,                      1,                  0.995,                0.77017,                0.85355,                 3.3517,                0.91803,             0.00044654,             0.00044654,             0.00044654
                     15,                0.74719,                 1.0514,                0.95349,                0.01376,                      1,                  0.995,                0.82433,                0.75406,                 3.3062,                0.90862,             0.00047377,             0.00047377,             0.00047377
                     16,                0.73244,                 1.0714,                 0.9563,                0.01376,                      1,                  0.995,                0.81774,                0.78883,                 3.2593,                 0.9335,             0.00050026,             0.00050026,             0.00050026
                     17,                0.83222,                 1.0742,                0.97874,                0.01357,                      1,                  0.995,                0.81687,                0.83104,                 3.4447,                0.95001,               0.000526,               0.000526,               0.000526
                     18,                0.79104,                 1.0712,                0.97256,                 0.0134,                      1,                  0.995,                0.77179,                0.85926,                 3.4234,                0.95233,               0.000551,               0.000551,               0.000551
                     19,                 0.7172,                 1.1462,                0.95254,                0.01353,                      1,                  0.995,                0.73829,                0.93199,                 3.3463,                 1.0016,             0.00057526,             0.00057526,             0.00057526
                     20,                0.79643,                0.97358,                0.91654,                0.01389,                      1,                  0.995,                0.73776,                0.93622,                 3.1893,                 0.9994,             0.00059878,             0.00059878,             0.00059878
